cyclone_name,type,year,reef_name,reef_id,year_before,year_after,cover_before_Tabular_Acropora,cover_after_Tabular_Acropora,cover_before_Corymbose_Acropora,cover_after_Corymbose_Acropora,cover_before_Corymbose_non_Acropora,cover_after_Corymbose_non_Acropora,cover_before_Small_Massives,cover_after_Small_Massives,cover_before_Large_Massives,cover_after_Large_Massives
unknown,c,2017.0,Michaelmas Cay,16060100104,2017,2019,0.04990945323923777,0.004127083097301054,0.06747530834187611,0.006213600228903247,0.029626712779651763,0.020896443161557234,0.024653914542005516,0.029575112475143956,0.007524524897700679,0.0072558761170668186
Yasi,s,2011.0876712328768,Moore Reef,16071100104,2010,2012,0.061165216219068466,0.008776129651166932,0.1147369737914404,0.05270270380064407,0.02719704677639393,0.022180002007807544,0.06277594928404713,0.056704749672608745,0.024495624646157725,0.02020449261831504
Yasi,s,2011.0876712328768,Myrmidon Reef,18034100104,2009,2011,0.015327722489894335,0.0029151189325694947,0.041214358093080605,0.024883145055998562,0.025975009970847434,0.005507270361801151,0.0660609754514281,0.057003391215659754,0.0371675126962759,0.032713832828229525
Ita,s,2014.2739726027398,No Name Reef,14139100104,2013,2015,0.05076219824941252,0.019307347048908984,0.09598185562204842,0.05956894804302512,0.059539476216925784,0.04948866839313438,0.035949776369900016,0.027921814636393403,0.0360231327479538,0.01772090501393763
unknown,m,2016.0849315068492,No Name Reef,14139100104,2015,2017,0.019307347048908984,0.006222925665083126,0.05956894804302512,0.018375210924381394,0.04948866839313438,0.03072124253416804,0.027921814636393403,0.020277049501265118,0.01772090501393763,0.00976754788638386
Hamish,s,2009.18,North Island,23045101104,2008,2010,0.13640825324091743,0.0015543888446095573,0.24919157523878943,0.0414651488368938,0.007370128729691141,0.000494802713858356,0.020206171766397996,0.00877451808500649,0.01925660389803676,0.01003693789779182
unknown,c,2011.0,North Direction Island,14143100104,2009,2011,0.030408381335869834,0.040277298333449375,0.030408381335869834,0.040277298333449375,0.03351626704475753,0.028928373169704976,0.1293444895656915,0.14470103182704663,0.03933561958240679,0.051331383685107417
Ita,s,2014.27,North Direction Island,14143100104,2013,2015,0.042146787817603566,0.0018890864215890919,0.042146787817603566,0.0018890864215890919,0.02944752922057736,0.006691600504268719,0.15486169945833997,0.032956032243097594,0.05561831169402208,0.024691868605261888
Nathan,s,2015.0,North Direction Island,14143100104,2015,2017,0.0018890864215890919,0.0004291563835931946,0.0018890864215890919,0.0004291563835931946,0.006691600504268719,0.0037409578018122607,0.032956032243097594,0.013425653164871694,0.024691868605261888,0.007690547927216837
unknown,m,2008.0,One Tree Island,23055101104,2007,2009,0.3087467012985266,0.09150954956349182,0.3122393752781722,0.09826409872083555,0.003838230892153412,0.0005089991894972736,0.009782242591626559,0.01525794336191523,0.0014857761779306284,0.0037926526740424734
Hamish,s,2009.1835616438357,One Tree Island,23055101104,2009,2011,0.09150954956349182,0.0005526612435673337,0.09826409872083555,0.004728427115782597,0.0005089991894972736,0.0,0.01525794336191523,0.011500721410148481,0.0037926526740424734,0.004503868528047379
Yasi,s,2011.0876712328768,Peart Reef,17024100104,2010,2012,0.06849560225827196,0.03617010228917881,0.08228568859844848,0.056802405581158205,0.0458706062184992,0.042172591445144354,0.0658521455551074,0.08695750737778474,0.033856043521887855,0.03397008156660135
unknown,c,2016.0,Peart Reef,17024100104,2014,2016,0.06522499793078555,0.08189923819157113,0.08930391326637203,0.10686159731088975,0.08359563738265247,0.0778179548616902,0.0977016907453967,0.09042545564321472,0.03725774036288967,0.020493346032154348
unknown,c,2018.0,Peart Reef,17024100104,2016,2018,0.08189923819157113,0.012292189743720275,0.10686159731088975,0.015032946884214053,0.0778179548616902,0.004121022222144619,0.09042545564321472,0.044613914310004374,0.020493346032154348,0.01066955865846933
Hamish,s,2009.1808219178083,Pompey Reef No.1,20351101104,2008,2010,0.05160547584868228,0.026830790123490662,0.09085891122149431,0.06768950923021794,0.024126041808809253,0.01701322013398439,0.11435259211859553,0.08771035547764675,0.08168809686116592,0.091989180884261
Marcia,s,2015.1342465753426,Pompey Reef No.1,20351101104,2014,2016,0.03504858526970726,0.021488981781979756,0.09634418282667304,0.09459070490971491,0.03703492743018725,0.01924368294676321,0.10015120522966518,0.057962012259265,0.07802375687882256,0.034474192981044025
Hamish,s,2009.1808219178083,Pompey Reef No.2,20351102104,2008,2010,0.053916713344756534,0.010727973571643635,0.104248505038398,0.05699267375673705,0.03482653221042046,0.012325615199039169,0.05955519498162565,0.04350980460651897,0.03717289198670594,0.030617673341887176
Marcia,s,2015.1342465753426,Pompey Reef No.2,20351102104,2014,2016,0.02753345895160916,0.0020124350661033506,0.07810154463613479,0.021412890837609236,0.0348838714107338,0.002143293048319822,0.05980043146926379,0.04986573016537556,0.03515879202193799,0.04250178384474492
Hamish,s,2009.0,Rebe Reef,19209100104,2007,2009,0.012506405299891266,0.001787489817370611,0.02096199781474773,0.009120251117217698,0.028872166173902945,0.004696199234415804,0.031086452751389305,0.015174041896027727,0.053291519999190864,0.04275589759516358
